category,raw_sketch_ind,fc6_sketch_ind,raw_sketch_pca_ind,fc6_sketch_pca_ind
airplane,15,11295,15,11295
airplane,34,5889,34,5889
airplane,93,916,93,916
airplane,111,455,111,455
airplane,150,12195,150,12195
airplane,172,5886,172,5886
airplane,211,10786,211,10786
airplane,224,5841,224,5841
airplane,283,11233,283,11233
airplane,305,7700,305,7700
airplane,326,2762,326,2762
airplane,382,1386,382,1386
airplane,412,8379,412,8379
airplane,423,2787,423,2787
airplane,455,2746,455,2746
airplane,507,5795,507,5795
airplane,515,7743,515,7743
airplane,573,11806,573,11806
airplane,594,9052,594,9052
airplane,638,423,638,423
airplane,651,5787,651,5787
airplane,683,2817,683,2817
airplane,724,5740,724,5740
airplane,762,2870,762,2870
airplane,778,5726,778,5726
airplane,826,10660,826,10660
airplane,844,9082,844,9082
airplane,876,5678,876,5678
airplane,916,1359,916,1359
airplane,949,9012,949,9012
airplane,986,1433,986,1433
airplane,1009,2718,1009,2718
airplane,1050,5938,1050,5938
airplane,1066,11831,1066,11831
airplane,1115,2516,1115,2516
airplane,1122,6162,1122,6162
airplane,1155,8406,1155,8406
airplane,1195,2529,1195,2529
airplane,1223,7604,1223,7604
airplane,1267,12016,1267,12016
airplane,1288,6119,1288,6119
airplane,1339,2591,1339,2591
airplane,1359,515,1359,515
airplane,1386,8906,1386,8906
airplane,1433,6083,1433,6083
airplane,1465,11188,1465,11188
airplane,1479,7626,1479,7626
airplane,1518,8957,1518,8957
airplane,1563,6069,1563,6069
airplane,1575,2620,1575,2620
airplane,1625,1465,1625,1465
airplane,1632,7655,1632,7655
airplane,1666,6036,1666,6036
airplane,1703,2649,1703,2649
airplane,1754,5991,1754,5991
airplane,1783,9921,1783,9921
airplane,1798,2681,1798,2681
airplane,1853,11212,1853,11212
airplane,1884,5962,1884,5962
airplane,1899,507,1899,507
airplane,1927,12114,1927,12114
airplane,1962,8988,1962,8988
airplane,2011,2889,2011,2889
airplane,2034,5633,2034,5633
airplane,2064,9981,2064,9981
airplane,2083,2918,2083,2918
airplane,2122,986,2122,986
airplane,2165,5372,2165,5372
airplane,2190,7870,2190,7870
airplane,2225,10424,2225,10424
airplane,2266,3140,2266,3140
airplane,2280,5337,2280,5337
airplane,2318,9213,2318,9213
airplane,2363,5304,2363,5304
airplane,2385,305,2385,305
airplane,2400,10391,2400,10391
airplane,2446,9729,2446,9729
airplane,2485,3195,2485,3195
airplane,2516,10634,2516,10634
